# time                 amplitude              uBulk                  uAxis                  tauWall                
+6.0630879283719e+00   +3.8268482062353e+00   +1.3719193992190e+00   +2.4772600679237e+00   +7.4247275517544e-02   
+6.0647609658797e+00   +3.8277613429288e+00   +1.3660133900131e+00   +2.4708510717128e+00   +7.4349374931685e-02   
+6.0664340033875e+00   +3.8286721184668e+00   +1.3601065381815e+00   +2.4644405513568e+00   +7.4451428483395e-02   
+6.0681070408954e+00   +3.8295805322875e+00   +1.3541988473679e+00   +2.4580285108100e+00   +7.4553436109724e-02   
+6.0697800784032e+00   +3.8304865838305e+00   +1.3482903212164e+00   +2.4516149540277e+00   +7.4655397747747e-02   
+6.0714531159110e+00   +3.8313902725369e+00   +1.3423809633717e+00   +2.4451998849662e+00   +7.4757313334570e-02   
+6.0731261534188e+00   +3.8322915978493e+00   +1.3364707774789e+00   +2.4387833075825e+00   +7.4859182807326e-02   
+6.0747991909267e+00   +3.8331905592117e+00   +1.3305597671838e+00   +2.4323652258347e+00   +7.4961006103177e-02   
+6.0764722284345e+00   +3.8340871560695e+00   +1.3246479361327e+00   +2.4259456436819e+00   +7.5062783159314e-02   
+6.0781452659423e+00   +3.8349813878698e+00   +1.3187352879721e+00   +2.4195245650839e+00   +7.5164513912954e-02   
+6.0798183034502e+00   +3.8358732540608e+00   +1.3128218263493e+00   +2.4131019940015e+00   +7.5266198301345e-02   
+6.0814913409580e+00   +3.8367627540925e+00   +1.3069075549120e+00   +2.4066779343966e+00   +7.5367836261764e-02   
+6.0831643784658e+00   +3.8376498874162e+00   +1.3009924773086e+00   +2.4002523902319e+00   +7.5469427731514e-02   
+6.0848374159737e+00   +3.8385346534846e+00   +1.2950765971876e+00   +2.3938253654709e+00   +7.5570972647930e-02   
+6.0865104534815e+00   +3.8394170517519e+00   +1.2891599181982e+00   +2.3873968640781e+00   +7.5672470948373e-02   
+6.0881834909893e+00   +3.8402970816739e+00   +1.2832424439903e+00   +2.3809668900190e+00   +7.5773922570234e-02   
+6.0898565284971e+00   +3.8411747427078e+00   +1.2773241782140e+00   +2.3745354472599e+00   +7.5875327450932e-02   
+6.0915295660050e+00   +3.8420500343120e+00   +1.2714051245199e+00   +2.3681025397680e+00   +7.5976685527916e-02   
+6.0932026035128e+00   +3.8429229559468e+00   +1.2654852865592e+00   +2.3616681715114e+00   +7.6077996738663e-02   
+6.0948756410206e+00   +3.8437935070736e+00   +1.2595646679837e+00   +2.3552323464593e+00   +7.6179261020679e-02   
+6.0965486785285e+00   +3.8446616871554e+00   +1.2536432724454e+00   +2.3487950685816e+00   +7.6280478311499e-02   
+6.0982217160363e+00   +3.8455274956567e+00   +1.2477211035969e+00   +2.3423563418490e+00   +7.6381648548688e-02   
+6.0998947535441e+00   +3.8463909320435e+00   +1.2417981650914e+00   +2.3359161702334e+00   +7.6482771669839e-02   
